Module Type,Description,Version,Calibration Start,Calibration End,Application Start,Application End
0x01,iSB14,0.0.i,0x0FA0,0x111F,0x1120,0xFFFF
0x01,iSB14,0.1.a,0x0FA0,0x111F,0x1120,0xFFFF
0x01,iSB14,1.0.c,0x211F,0x1FA0,0x2120,0xFFFF
0x01,iSB14,0.0.z,0x0000,0xFFFF,0x0000,0xFFFF
0x01,iSB14,0.0.a,0,7,0x2120,0xFFFF
0x02,Power Output,,0x0000,0x0100,,
0x02,Power Output,,0x1000,0x1100,,
0x03,8DI-8DO,,0x0000,0x0200,,
,,,,,,
HW IO Type ,Description,,,,,
0x01,Power Output,,,,,
0x02,128DIO,,,,,
0x03,64DIO,,,,,
0x04,Key_module,,,,,
0x05,Relay_IO,,,,,
0x06,8DI-8DO,,,,,
0x07,COM_IO,,,,,
0x08,AIO,,,,,
 ,,,,,,
 ,,,,,,
